Client,Practice Area,Matter Number,Matter Description,Responsible Attorney,Originating Attorney,Billable,Latest Bill,Attorney Name,Role,Practice Group ,Practice Description,Summary ,Area of Expertise,Education,Contact
The Arena League LLC,Trademark/Copyright,03073-The Arena League LLC-Trademark portfolio,Trademark portfolio,James Creedon,James Creedon,Yes,,,,,,,,,
The Arena League LLC,Trademark/Copyright,03074-The Arena League LLC-THE AL composite mark (Class 41),THE AL composite mark (Class 41),James Creedon,James Creedon,Yes,,,,,,,,,
The Arena League LLC,Trademark/Copyright,03075-The Arena League LLC-OZARKS LUNKERS word mark (Class 41),OZARKS LUNKERS word mark (Class 41),James Creedon,James Creedon,Yes,,,,,,,,,
The Arena League LLC,Trademark/Copyright,03076-The Arena League LLC-OZARKS LUNKERS design mark (Class 41),OZARKS LUNKERS design mark (Class 41),James Creedon,James Creedon,Yes,,,,,,,,,
The Arena League LLC,Trademark/Copyright,03077-The Arena League LLC-OZARKS LUNKERS design mark (Class 41),OZARKS LUNKERS design mark (Class 41),James Creedon,James Creedon,Yes,,,,,,,,,
Conservative Tax Inc.,Trademark/Copyright,02735-Conservative Tax Inc.-IRSSUCKS word mark (Class 35),IRSSUCKS word mark (Class 35),Charles Wallace,James Creedon,Yes,,,,,,,,,
"M&N Spirits, LLC",Trademark/Copyright,"02828-M&N Spirits, LLC-SMOKIN' OAK BOURBON word mark (Class 33)",SMOKIN' OAK BOURBON word mark (Class 33),Charles Wallace,James Creedon,Yes,,,,,,,,,
"M&N Spirits, LLC",Trademark/Copyright,"02829-M&N Spirits, LLC-BARKER & TRUYOL word mark (Class 33)",BARKER & TRUYOL word mark (Class 33),Charles Wallace,James Creedon,Yes,,,,,,,,,
Linesight Development LLC,Trademark/Copyright,03203-Linesight Development LLC-MORPHIC DEVELOPMENT word mark (Class 36),MORPHIC DEVELOPMENT word mark (Class 36),Shannon Straughan,James Creedon,Yes,3/29/24,,,,,,,,
Linesight Development LLC,Trademark/Copyright,03204-Linesight Development LLC-MORPHIC DEVELOPMENT word mark (Class 37),MORPHIC DEVELOPMENT word mark (Class 37),Shannon Straughan,James Creedon,Yes,,,,,,,,,
Thirst Band LLC,Trademark/Copyright,03298-Thirst Band LLC-THIRST word mark (Class 41),THIRST word mark (Class 41),Shannon Straughan,Shannon Straughan,Yes,,,,,,,,,
"Safehouse Distilling, Inc.",Trademark/Copyright,"03269-Safehouse Distilling, Inc.-PROPHET SHARE word mark class 33",PROPHET SHARE word mark class 33,Shannon Straughan,James Creedon,Yes,,,,,,,,,
Strong Strong Supply Co. LLC,Corporate & Securities,03246-Strong Strong Supply Co. LLC-STRONG STRONG SUPPLY CO LLC DBA filing,STRONG STRONG SUPPLY CO LLC DBA filing,Shannon Straughan,Shannon Straughan,Yes,,,,,,,,,
KNINE Coffee Company LLC,Litigation,"03276-KNINE Coffee Company LLC-v. K9 & Coffee, Inc.","v. K9 & Coffee, Inc.",Shannon Straughan,Shannon Straughan,Yes,,,,,,,,,
"Autix Automotive, Inc.",Patents,"02996-Autix Automotive, Inc.-P-101-Custom Car Platform",P-101-Custom Car Platform,James Creedon,James Creedon,Yes,5/1/24,,,,,,,,
"Autix Automotive, Inc.",Litigation,"04904-Autix Automotive, Inc.-v. Raheel Malik",v. Raheel Malik,,James Creedon,Yes,5/31/24,,,,,,,,
"Vineskills, Inc.",Corporate & Securities,03499-Vineskills LLC-Contract drafting and review,Contract drafting and review,Shannon Straughan,Shannon Straughan,Yes,6/5/24,,,,,,,,
Serene Group Inc.,Corporate & Securities,02906-Serene Group Inc.-Entity formation,Entity formation,Charles Wallace,Charles Wallace,Yes,5/7/24,,,,,,,,
Serene Group Inc.,Corporate & Securities,"02907-Serene Group Inc.-Contract drafting, review, analysis, and negotiation","Contract drafting, review, analysis, and negotiation",Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Serene Group Inc.,Patents,04597-Serene Group Inc.-Patent portfolio,Patent portfolio,Charles Wallace,Charles Wallace,Yes,4/3/24,,,,,,,,
Black Label Real Estate Advisors LLC,Trademark/Copyright,02712-Black Label Real Estate Advisors LLC-Trademark Portfolio,Trademark Portfolio,Charles Wallace,Charles Wallace,Yes,1/4/24,,,,,,,,
Black Label Real Estate Advisors LLC,Trademark/Copyright,02713-Black Label Real Estate Advisors LLC-SELLING NEW BRAUNFELS word mark (Class 36),SELLING NEW BRAUNFELS word mark (Class 36),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Black Label Real Estate Advisors LLC,Trademark/Copyright,02714-Black Label Real Estate Advisors LLC-SELLING NEW BRAUNFELS word mark (Class 38),SELLING NEW BRAUNFELS word mark (Class 38),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Black Label Real Estate Advisors LLC,Trademark/Copyright,02715-Black Label Real Estate Advisors LLC-SELLING NEW BRAUNFELS word mark (Class 41),SELLING NEW BRAUNFELS word mark (Class 41),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Black Label Real Estate Advisors LLC,Corporate & Securities,02716-Black Label Real Estate Advisors LLC-Trademark enforcement,Trademark enforcement,Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Visual Arts of Prosper Inc.,Trademark/Copyright,03440-Visual Arts of Prosper Inc.-Visual Arts of Prosper Pro Bono Matters,Visual Arts of Prosper Pro Bono Matters,Charles Wallace,Charles Wallace,No,,,,,,,,,
Fit Nurse Nutrition LLC,Trademark/Copyright,03150-Fit Nurse Nutrition LLC-MME word mark (class 41),MME word mark (class 41),Shannon Straughan,Shannon Straughan,Yes,4/3/24,,,,,,,,
Fit Nurse Nutrition LLC,Trademark/Copyright,03151-Fit Nurse Nutrition LLC-Copyright Registration for online course: Macros Made EZ,Copyright Registration for online course: Macros Made EZ,Shannon Straughan,Shannon Straughan,Yes,,,,,,,,,
Fit Nurse Nutrition LLC,Litigation,04438-Fit Nurse Nutrition LLC-Alyssa Schomaker vs Fit Nurse Nutrition LLC,Alyssa Schomaker vs Fit Nurse Nutrition LLC,Shannon Straughan,Shannon Straughan,Yes,4/3/24,,,,,,,,
The Ascendancy Group LLC,Corporate & Securities,02928-The Ascendancy Group LLC-The Ascendancy Group LLC entity formation,The Ascendancy Group LLC entity formation,Charles Wallace,James Creedon,Yes,,,,,,,,,
Lovage Inc. LLC,Trademark/Copyright,03209-Lovage Inc. LLC-TREAT SPLOSION word mark (class 35),TREAT SPLOSION word mark (class 35),Shannon Straughan,Shannon Straughan,Yes,3/6/24,,,,,,,,
Frenchie Friends LLC,Trademark/Copyright,03027-Frenchie Friends LLC-FRENCHIE FRIENDS word mark (Classes 25 and 35),FRENCHIE FRIENDS word mark (Classes 25 and 35),James Creedon,James Creedon,Yes,,,,,,,,,
Jerry D Armstrong,Litigation,"03050-Armstrong-v. American Automobile Association, Inc. (AAA)","v. American Automobile Association, Inc. (AAA)",James Creedon,James Creedon,Yes,,,,,,,,,
Little & Gorgeous Inc.,Trademark/Copyright,03206-Little & Gorgeous Inc.-WILD & GORGEOUS trademark assignment,WILD & GORGEOUS trademark assignment,Shannon Straughan,James Creedon,Yes,,,,,,,,,
Little & Gorgeous Inc.,Litigation,"03258-Little & Gorgeous Inc.-Wild Tribe Screen Prints LLC v. Little & Gorgeous, Inc., Amanda Fournier & Skyler Caddell","Wild Tribe Screen Prints LLC v. Little & Gorgeous, Inc., Amanda Fournier & Skyler Caddell",Shailika Kotiya,James Creedon,Yes,10/30/23,,,,,,,,
Davis Autogroup LLC,Trademark/Copyright,02744-Davis Autogroup LLC-Trademark Portfolio,Trademark Portfolio,James Creedon,James Creedon,Yes,9/30/23,,,,,,,,
Davis Autogroup LLC,Trademark/Copyright,02745-Davis Autogroup LLC-IDRIVE1 MOTORCARS word mark (Class 35),IDRIVE1 MOTORCARS word mark (Class 35),Charles Wallace,James Creedon,Yes,,,,,,,,,
"Drivingo, Inc.",Trademark/Copyright,"03023-Drivingo, Inc.-DRIVINGO word mark (Class 9)",DRIVINGO word mark (Class 9),James Creedon,James Creedon,Yes,,,,,,,,,
"Drivingo, Inc.",Trademark/Copyright,"03024-Drivingo, Inc.-DRIVINGO word mark (Class 41)",DRIVINGO word mark (Class 41),James Creedon,James Creedon,Yes,,,,,,,,,
Aria Candy LLC,Trademark/Copyright,02696-Aria Candy LLC-MINT SOCIETY word mark (Class 30),MINT SOCIETY word mark (Class 30),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
RISE MEN'S HEALTH,Trademark/Copyright,03067-RISE MEN'S HEALTH-Trademark Portfolio,Trademark Portfolio,James Creedon,James Creedon,Yes,10/2/23,,,,,,,,
RISE MEN'S HEALTH,Trademark/Copyright,03068-RISE MEN'S HEALTH-RISE MEN'S HEALTH logo mark (Classes 35 & 44),RISE MEN'S HEALTH logo mark (Classes 35 & 44),James Creedon,James Creedon,Yes,,,,,,,,,
Patricia Skidmore,Trademark/Copyright,03249-Skidmore-LEAN BEEF PATTY word mark (class 41),LEAN BEEF PATTY word mark (class 41),Shannon Straughan,Shannon Straughan,Yes,,,,,,,,,
Patricia Skidmore,Trademark/Copyright,03250-Skidmore-Trademark Portfolio,Trademark Portfolio,Shannon Straughan,Shannon Straughan,Yes,2/5/24,,,,,,,,
T.T. Chiao Inc.,Trademark/Copyright,02925-T.T. Chiao Inc.-CHOPSTICKS CHINESE BUFFET word mark (Class 16),CHOPSTICKS CHINESE BUFFET word mark (Class 16),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Tasheba Barnett,Patents,04485-Barnett-Patent Portfolio,Patent Portfolio,,James Creedon,No,,,,,,,,,
Kickin' Bee LLC,Corporate & Securities,"02812-Kickin' Bee LLC-General contract / letter review, drafting, analysis, and negotiation","General contract / letter review, drafting, analysis, and negotiation",Charles Wallace,Charles Wallace,Yes,10/4/23,,,,,,,,
Kickin' Bee LLC,Litigation,02813-Kickin' Bee LLC-v. Brandy Pierce,v. Brandy Pierce,Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Kickin' Bee LLC,Trademark/Copyright,03671-Kickin' Bee LLC-Trademark portfolio,Trademark portfolio,Charles Wallace,Charles Wallace,Yes,7/8/24,,,,,,,,
Kayla Lojas,Trademark/Copyright,03181-Lojas-SHAWTIES composite mark (class 25),SHAWTIES composite mark (class 25),Shannon Straughan,Shannon Straughan,Yes,7/8/24,,,,,,,,
Collison & Co,Trademark/Copyright,02734-Collison & Co-HEART OF THE MURRAY composite mark (Class 33),HEART OF THE MURRAY composite mark (Class 33),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Collison & Co,Trademark/Copyright,03377-Collison & Co-PACIFIC DRIFTER word mark (Class 33),PACIFIC DRIFTER word mark (Class 33),Charles Wallace,Charles Wallace,Yes,9/7/23,,,,,,,,
Bradley Johns,Trademark/Copyright,03088-Johns-BOX-IT STORAGE word mark (class 39),BOX-IT STORAGE word mark (class 39),Shannon Straughan,James Creedon,Yes,,,,,,,,,
Danci International Inc.,Trademark/Copyright,02741-Danci International Inc.-Trademark portfolio,Trademark portfolio,Charles Wallace,Charles Wallace,Yes,2/5/24,,,,,,,,
Danci International Inc.,Corporate & Securities,02742-Danci International Inc.-Intellectual property enforcement,Intellectual property enforcement,Charles Wallace,Charles Wallace,Yes,9/7/23,,,,,,,,
OGH International Corp.,Trademark/Copyright,02867-OGH International Corp.-OGH PARTS word mark (Classes 9 & 12),OGH PARTS word mark (Classes 9 & 12),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
OGH International Corp.,Corporate & Securities,02868-OGH International Corp.-Intellectual property enforcement,Intellectual property enforcement,Charles Wallace,Charles Wallace,Yes,6/5/24,,,,,,,,
OGH International Corp.,Trademark/Copyright,02869-OGH International Corp.-OGH PARTS word mark (Class12),OGH PARTS word mark (Class12),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
OGH International Corp.,Trademark/Copyright,02870-OGH International Corp.-CHROME4URAUTO word mark (Class 9),CHROME4URAUTO word mark (Class 9),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
OGH International Corp.,Trademark/Copyright,02871-OGH International Corp.-Trademark portfolio,Trademark portfolio,Charles Wallace,Charles Wallace,Yes,6/5/24,,,,,,,,
Chess Moves Zenith LLC,Trademark/Copyright,03013-Chess Moves Zenith LLC-CHESS MOVES ZENITH word mark (Class 25),CHESS MOVES ZENITH word mark (Class 25),James Creedon,James Creedon,Yes,,,,,,,,,
My Dirty Biz LLC,Patents,03059-My Dirty Biz LLC-P-101-Paper,P-101-Paper,James Creedon,James Creedon,Yes,,,,,,,,,
Artea LLC,Trademark/Copyright,02697-Artea LLC-Trademark portfolio,Trademark portfolio,Charles Wallace,Charles Wallace,Yes,6/7/24,,,,,,,,
Artea LLC,Trademark/Copyright,02698-Artea LLC-ARTEA BUBBLE TEA + EATS composite mark (Class 30 - TX),ARTEA BUBBLE TEA + EATS composite mark (Class 30 - TX),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Artea LLC,Trademark/Copyright,02699-Artea LLC-Artea Bear design mark (Class 30),Artea Bear design mark (Class 30),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Artea LLC,Trademark/Copyright,02700-Artea LLC-Artea Bear design mark (Class 43),Artea Bear design mark (Class 43),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Artea LLC,Trademark/Copyright,02701-Artea LLC-ARTEA HAND-CRAFTED BUBBLE TEA composite mark (Class 21),ARTEA HAND-CRAFTED BUBBLE TEA composite mark (Class 21),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Artea LLC,Trademark/Copyright,02702-Artea LLC-ARTEA HAND-CRAFTED BUBBLE TEA composite mark (Class 30),ARTEA HAND-CRAFTED BUBBLE TEA composite mark (Class 30),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Artea LLC,Trademark/Copyright,02703-Artea LLC-ARTEA word mark (Class 21),ARTEA word mark (Class 21),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Artea LLC,Trademark/Copyright,02704-Artea LLC-ARTEA word mark (Class 30),ARTEA word mark (Class 30),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Carlos Carrizales,Litigation,03010-Carrizales-v. Connected Investors Inc.,v. Connected Investors Inc.,James Creedon,James Creedon,Yes,,,,,,,,,
Senior Shield Home Care LLC,Trademark/Copyright,03275-Senior Shield Home Care LLC-SENIOR SHIELD HOME CARE word mark (Class 44),SENIOR SHIELD HOME CARE word mark (Class 44),Shannon Straughan,James Creedon,Yes,,,,,,,,,
Christie Lott,Patents,03015-Lott-U-101-Resin Curing,U-101-Resin Curing,James Creedon,Charles Wallace,Yes,3/6/24,,,,,,,,
CWAG Ventures LLC,Trademark/Copyright,03140-CWAG Ventures LLC-SILVERBACK SUMMIT word mark (Class 41),SILVERBACK SUMMIT word mark (Class 41),Shannon Straughan,Shannon Straughan,Yes,3/28/24,,,,,,,,
KT Mediaforce Productions LLC,Trademark/Copyright,02814-KT Mediaforce Productions LLC-Trademark portfolio,Trademark portfolio,Charles Wallace,Charles Wallace,Yes,6/5/24,,,,,,,,
KT Mediaforce Productions LLC,Trademark/Copyright,02815-KT Mediaforce Productions LLC-General business legal assistance,General business legal assistance,Charles Wallace,Charles Wallace,Yes,4/3/24,,,,,,,,
KT Mediaforce Productions LLC,Trademark/Copyright,02816-KT Mediaforce Productions LLC-DOCTOR OWLKIN AND THE H.O.M.E. TEAM word mark (Class 9),DOCTOR OWLKIN AND THE H.O.M.E. TEAM word mark (Class 9),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
KT Mediaforce Productions LLC,Trademark/Copyright,02817-KT Mediaforce Productions LLC-DOCTOR OWLKIN AND THE H.O.M.E. TEAM word mark (Class 28 (toys)),DOCTOR OWLKIN AND THE H.O.M.E. TEAM word mark (Class 28 (toys)),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
KT Mediaforce Productions LLC,Corporate & Securities,"02818-KT Mediaforce Productions LLC-Contract review, drafting, & negotiation,","Contract review, drafting, & negotiation,",Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Kenneth Evans,Litigation,02811-Evans-v. DOES (Texas Fence Fixer),v. DOES (Texas Fence Fixer),Charles Wallace,James Creedon,No,9/7/23,,,,,,,,
Kenneth Evans,,03435-Evans-Settlements,Settlements,Charles Wallace,James Creedon,Yes,12/15/23,,,,,,,,
Shazim Mohammad,Corporate & Securities,04361-Mohammad-Home construction contract review,Home construction contract review,,James Creedon,Yes,6/30/24,,,,,,,,
I Gotta Guy 4 That LLC,Trademark/Copyright,03795-I Gotta Guy 4 That LLC-Trademark portfolio,Trademark portfolio,Charles Wallace,Charles Wallace,Yes,2/5/24,,,,,,,,
Jimmy Mentis,Trademark/Copyright,03175-Mentis-BEAUTYFIT word mark office action response,BEAUTYFIT word mark office action response,Shannon Straughan,Shannon Straughan,Yes,11/6/23,,,,,,,,
Bo Ram Kim,Trademark/Copyright,03086-Kim-FK BEAUTY word mark (Class 44),FK BEAUTY word mark (Class 44),Shannon Straughan,James Creedon,Yes,,,,,,,,,
Strong Strong Friends LLC,Corporate & Securities,03292-Strong Strong Friends LLC-Texas LLC formation: TRAINMAKR LLC,Texas LLC formation: TRAINMAKR LLC,Shannon Straughan,James Creedon,Yes,,,,,,,,,
Strong Strong Friends LLC,Corporate & Securities,03308-Strong Strong Friends LLC-Software Development Master Services Agreement for TRAINMAKR LLC,Software Development Master Services Agreement for TRAINMAKR LLC,Shannon Straughan,Shannon Straughan,Yes,,,,,,,,,
"Bankhead Brewing Co., LLC",Trademark/Copyright,"02709-Bankhead Brewing Co., LLC-Trademark portfolio",Trademark portfolio,Charles Wallace,Charles Wallace,Yes,10/4/23,,,,,,,,
"Bankhead Brewing Co., LLC",Trademark/Copyright,"02710-Bankhead Brewing Co., LLC-v. Bankhead Seafood (TTAB)",v. Bankhead Seafood (TTAB),Charles Wallace,Charles Wallace,Yes,2/5/24,,,,,,,,
Nutracode LLC,Litigation,03080-Nutracode LLC-v. FM World Spolka z Ograniczona Odpowiedzialnoscia,v. FM World Spolka z Ograniczona Odpowiedzialnoscia,Shannon Straughan,Shannon Straughan,Yes,10/4/23,,,,,,,,
Nutracode LLC,Trademark/Copyright,03758-Nutracode LLC-trademark portfolio,trademark portfolio,Shannon Straughan,Shannon Straughan,Yes,12/5/23,,,,,,,,
Scale Media Inc.,Corporate & Securities,03290-Scale Media Inc.-Endorsement Agreements,Endorsement Agreements,Shannon Straughan,Shannon Straughan,Yes,,,,,,,,,
Scale Media Inc.,Corporate & Securities,03912-Scale Media Inc.-General Healthcare,General Healthcare,Sara Rau Frumkin,Shannon Straughan,Yes,6/5/24,,,,,,,,
Supercritical LLC,Trademark/Copyright,02917-Supercritical LLC-Trademark portfolio,Trademark portfolio,Charles Wallace,Charles Wallace,Yes,6/2/24,,,,,,,,
Supercritical LLC,Trademark/Copyright,02918-Supercritical LLC-Patent portfolio,Patent portfolio,Charles Wallace,Charles Wallace,Yes,10/4/23,,,,,,,,
Supercritical LLC,Corporate & Securities,02919-Supercritical LLC-General corporate,General corporate,Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Supercritical LLC,Corporate & Securities,"02920-Supercritical LLC-Contract review, analysis, drafting, and negotiation","Contract review, analysis, drafting, and negotiation",Charles Wallace,Charles Wallace,Yes,3/6/24,,,,,,,,
Supercritical LLC,Trademark/Copyright,02921-Supercritical LLC-Supercritical design mark (Class 16),Supercritical design mark (Class 16),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Supercritical LLC,Trademark/Copyright,02922-Supercritical LLC-Supercritical design mark (Class 9),Supercritical design mark (Class 9),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Supercritical LLC,Trademark/Copyright,02923-Supercritical LLC-Supercritical design mark (Class 35),Supercritical design mark (Class 35),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Supercritical LLC,Trademark/Copyright,02924-Supercritical LLC-Supercritical design mark (Class 41),Supercritical design mark (Class 41),Charles Wallace,Charles Wallace,Yes,,,,,,,,,
Kadabra Foods LLC,Trademark/Copyright,03179-Kadabra Foods LLC-Trademark portfolio,Trademark portfolio,Shannon Straughan,James Creedon,Yes,,,,,,,,,
Kadabra Foods LLC,Trademark/Copyright,03180-Kadabra Foods LLC-KAZAM word mark (Class 30),KAZAM word mark (Class 30),Shannon Straughan,James Creedon,Yes,,,,,,,,,
Caring With Grace LLC,Corporate & Securities,"02731-Caring With Grace LLC-Contract review, analysis, negotiation, and drafting","Contract review, analysis, negotiation, and drafting",Charles Wallace,Charles Wallace,Yes,8/14/23,,,,,,,,
Caring With Grace LLC,Corporate & Securities,03799-Caring With Grace LLC-Data Breach,Data Breach,Brian Elliott,Charles Wallace,Yes,2/5/24,,,,,,,,
Caring With Grace LLC,Trademark/Copyright,04427-Caring With Grace LLC-Trademark portfolio,Trademark portfolio,,Charles Wallace,Yes,6/6/24,,,,,,,,
DOUGHNUTS AND DEADLIFTS LLC,Corporate & Securities,03291-DOUGHNUTS AND DEADLIFTS LLC-Asset Purchase Agreement,Asset Purchase Agreement,Shannon Straughan,Shannon Straughan,Yes,3/6/24,,,,,,,,
AQ Studios Inc.,Litigation,02995-AQ Studios Inc.-v. Urban One Inc. (TTAB),v. Urban One Inc. (TTAB),Charles Wallace,James Creedon,Yes,6/30/24,,,,,,,,
The Beverage Ranch LLC,Trademark/Copyright,03460-The Beverage Ranch LLC-Trademark Portfolio,Trademark Portfolio,Charles Wallace,Charles Wallace,Yes,3/6/24,,,,,,,,
The Sicilian Brothers,Litigation,03380-The Sicilian Brothers-v. Harper Belmont Media LLC,v. Harper Belmont Media LLC,James Creedon,James Creedon,Yes,9/1/23,,,,,,,,
Independent Paperboard Marketing LLC,Litigation,03500-Independent Paperboard Marketing LLC-v. Alpha Packaging Industries Inc.,v. Alpha Packaging Industries Inc.,Amy Duvanich,James Creedon,Yes,9/6/23,,,,,,,,
Unknown Client,,04200-Unknown Client-Unknown Matter,Unknown Matter,,,Yes,,,,,,,,,
Sword Voodoo Inc.,Corporate & Securities,02688-Sword Voodoo Inc.-General Corporate Counseling,General Corporate Counseling,Brian Scherer,Brian Scherer,Yes,9/28/23,,,,,,,,
Lawtrades,Corporate & Securities,"03373-Lawtrades-Epic Games, Inc.","Epic Games, Inc.",Paula Kirlin,Paula Kirlin,Yes,1/5/24,,,,,,,,
Lawtrades,Corporate & Securities,03374-Lawtrades-Allbirds Inc.,Allbirds Inc.,Paula Kirlin,Paula Kirlin,Yes,,,,,,,,,
Jenna Dramise Smaine,Real Estate & Land Use,02690-Smaine-Advice and Counsel related to nonprofit,Advice and Counsel related to nonprofit,Marissa Fox,Marissa Fox,Yes,9/18/23,,,,,,,,
"Overwatch Security and Assessments, LLC",Real Estate & Land Use,"02691-Overwatch Security and Assessments, LLC-Advice and Counsel Related to Governance and Commercial Agreements",Advice and Counsel Related to Governance and Commercial Agreements,Marissa Fox,Marissa Fox,Yes,10/11/23,,,,,,,,
"ENTEVATE, INC.",Corporate & Securities,"03318-ENTEVATE, INC.-Entity Formation",Entity Formation,Lindsey Altmeyer,James Creedon,Yes,2/1/24,,,,,,,,
"ENTEVATE, INC.",Corporate & Securities,"03319-ENTEVATE, INC.-General Corporate Counsel",General Corporate Counsel,James Creedon,James Creedon,Yes,6/30/24,,,,,,,,
Tot Spot LLC,Real Estate & Land Use,03317-Tot Spot LLC-General Counsel,General Counsel,Melissa Balough,Melissa Balough,No,,,,,,,,,
"LumiQ, Inc.",Corporate & Securities,"03320-LumiQ, Inc.-US Subsidiary Formation",US Subsidiary Formation,Chuck Kraus,Chuck Kraus,Yes,2/5/24,,,,,,,,
Osvaldo and Eddie Ancinas,Real Estate & Land Use,03506-Ancinas-Estate Planning,Estate Planning,Erica Shepard,Erica Shepard,Yes,10/4/23,,,,,,,,
Nimi,Litigation,03321-Nimi-Bond Dispute,Bond Dispute,Brian Scherer,Brian Scherer,Yes,10/4/23,,,,,,,,
"Sonoma Behavioral Consulting, LLC",Corporate & Securities,"03323-Sonoma Behavioral Consulting, LLC-General Business",General Business,Doug Mitchell,Doug Mitchell,Yes,1/4/24,,,,,,,,
Fady Yanni,Corporate & Securities,03327-Yanni-General Corporate Counseling,General Corporate Counseling,Katy Barreto,Katy Barreto,Yes,10/1/23,,,,,,,,
Dan Adamson,Corporate & Securities,03328-Adamson-NFT Project,NFT Project,Dori Karjian,Dori Karjian,Yes,9/7/23,,,,,,,,
Rachas inc. (Chuze Fitness),Corporate & Securities,"03740-Chuze Fitness Franchises, Inc.-General",General,Kimberly Griffin,Kimberly Griffin,Yes,7/11/24,,,,,,,,
Kline Hill Partners,Corporate & Securities,03338-Kline Hill Partners-General Corporate,General Corporate,Jason Altieri,Jason Altieri,Yes,,,,,,,,,
Kline Hill Partners,Corporate & Securities,03663-Kline Hill Partners-Frances Holdings I LP Acquisition,Frances Holdings I LP Acquisition,Jason Altieri,Jason Altieri,Yes,1/10/24,,,,,,,,
ENA Solution Inc.,Corporate & Securities,03332-ENA Solution Inc.-US Subsidiary Formation,US Subsidiary Formation,Chuck Kraus,Chuck Kraus,Yes,1/4/24,,,,,,,,
ENA Solution Inc.,Corporate & Securities,03333-ENA Solution Inc.-Trademark Advice,Trademark Advice,Chuck Kraus,Chuck Kraus,Yes,,,,,,,,,
Affluent Ads LLC,Corporate & Securities,03445-Gill-Upper Capital,Upper Capital,Trey Calver,Trey Calver,Yes,5/16/24,,,,,,,,
Affluent Ads LLC,Corporate & Securities,04314-Gill-Leadnomics,Leadnomics,Trey Calver,Trey Calver,Yes,5/16/24,,,,,,,,
Kerr Mechanical Corp,Corporate & Securities,03334-Kerr Mechanical Corp-Intelligent Service Financing,Intelligent Service Financing,Jonathan Van Loo,Jonathan Van Loo,Yes,9/7/23,,,,,,,,
Lifeboost Coffee,Corporate & Securities,03340-Lifeboost Coffee-General Corporate,General Corporate,Dori Karjian,Dori Karjian,Yes,4/3/24,,,,,,,,
Painkllr LLC,Trademark/Copyright,03329-Painkllr LLC-Independent Contractor Agreement draft,Independent Contractor Agreement draft,Shannon Straughan,Shannon Straughan,Yes,8/8/23,,,,,,,,
Xandria,Corporate & Securities,03331-Xandria-Fractional General Counsel,Fractional General Counsel,Amy Duvanich,Amy Duvanich,Yes,8/4/23,,,,,,,,
Looking Glass Factory Inc.,Corporate & Securities,03336-Looking Glass Factory Inc.-Corporate and Intellectual Property Transactions,Corporate and Intellectual Property Transactions,Brian Detwiler,Brian Detwiler,Yes,7/5/24,,,,,,,,
Looking Glass Factory Inc.,Corporate & Securities,03459-Looking Glass Factory Inc.-FAR Compliance Policy Implementation,FAR Compliance Policy Implementation,Eric Blatt,Eric Blatt,Yes,9/11/23,,,,,,,,
Chrissy Faessen,Corporate & Securities,03339-Faessen-Property Characterization Agreement,Property Characterization Agreement,Kristen Dayley,Kristen Dayley,Yes,10/4/23,,,,,,,,
Wayy LLC,Fintech & Financial Services,03341-Wayy LLC-General Fintech,General Fintech,Cary Ullman,Cary Ullman,Yes,12/5/23,,,,,,,,
"Sport Balance, Inc.",Trademark/Copyright,"03348-Sport Balance, Inc.-US TM MAXXX PERFORMANCE",US TM MAXXX PERFORMANCE,Alandis Brassel,Alandis Brassel,Yes,10/4/23,,,,,,,,
"Sun Dog, LLC",Real Estate & Land Use,"03343-Sun Dog, LLC-Advice and counsel re 230 Estates Drive",Advice and counsel re 230 Estates Drive,Marissa Fox,Marissa Fox,Yes,9/18/23,,,,,,,,
"Paragon Health IT, Inc.",Corporate & Securities,"03345-Paragon Health IT, Inc.-Equity Sale",Equity Sale,Doug Mitchell,Doug Mitchell,Yes,5/7/24,,,,,,,,
Cherisse Hollingsworth,Real Estate & Land Use,03349-Hollingsworth-Re. Renaldi Family Trust,Re. Renaldi Family Trust,Erica Shepard,Erica Shepard,Yes,9/12/23,,,,,,,,
